Group of Professions,Year,Acceptance Rate (In Percent)
Economics and Management,2014,2.235050087633259
Economics and Management,2015,2.297827356942165
"Photonics, Instrument Engineering, Optical and Biotechnical Technologies",2016,3.9877300613496933
Physics and Technical Sciences and Technologies,2017,2.083333333333333
Nanotechnology,2018,2.4498886414253898
Physics and Technical Sciences and Technologies,2019,3.6363636363636362
Physics and Technical Sciences and Technologies,2020,0.9090909090909091
Nanotechnology,2021,2.2498060512024827
Chemical Technologies,2022,1.0040160642570282
Chemical Technologies,2023,0.8064516129032258
